Storey,Pattern,Load
1,mass,365.9938837920489
1,q,11.100000000000001
1,seismic,6.6
2,mass,365.9938837920489
2,q,11.100000000000001
2,seismic,6.6
3,mass,365.9938837920489
3,q,11.100000000000001
3,seismic,6.6
4,mass,357.67584097859327
4,q,10.350000000000001
4,seismic,6.45
